n_components_mean,n_components_std,frac_largest_mean,frac_largest_std,avg_degree_mean,avg_degree_std,clustering_mean,clustering_std,path_length_LCC_mean,path_length_LCC_std,modularity_Q_mean,modularity_Q_std,homophily_mean,homophily_std,std_opinion_mean,std_opinion_std,epsilon_mean,epsilon_std,p_cut_mean,p_cut_std,epsilon,p_cut,n_seeds
7.8,2.280350850198276,0.9739999999999999,0.013532368602724361,3.651,0.043214580872663826,0.3886373015873016,0.02948542509666668,7.600855929675044,0.212680668214583,0.8267155442646562,0.013992137775944153,0.7278208532570323,0.040561497530418864,0.26172195088882466,0.004062788442007307,0.2,0.0,0.07444444444444444,0.0,0.2,0.07444444444444444,5
15.0,1.5811388300841898,0.9490000000000001,0.010694624818103701,3.539,0.07916754385478934,0.42253373015873014,0.006063928185668286,8.463717242680847,0.9021247726286645,0.8522697529832822,0.017151932080040243,0.8273466884028899,0.03158457323907844,0.2618870384878617,0.0038920492648612383,0.2,0.0,0.10666666666666666,0.0,0.2,0.10666666666666666,5
22.0,4.358898943540674,0.9145,0.014295978455495791,3.503,0.049699094559156616,0.4657742063492064,0.03079329086170762,9.699435408456244,1.2520501402577613,0.8763628724354573,0.014562032243966093,0.879399082686492,0.024640935569109613,0.26049697638359287,0.004454359212036429,0.2,0.0,0.1388888888888889,0.0,0.2,0.1388888888888889,5
34.4,6.730527468185536,0.8234999999999999,0.008023403267940609,3.45,0.10289557813628344,0.5054210678210678,0.03250860034445474,10.189855127759703,0.9482077658938783,0.8878678634117383,0.0033367960564919287,0.9264525970362257,0.02001147745441743,0.2621343206884247,0.0037508559890790986,0.2,0.0,0.1711111111111111,0.0,0.2,0.1711111111111111,5
40.8,4.816637831516918,0.7315,0.09500986790854939,3.4240000000000004,0.05856620185738524,0.527900036075036,0.01285513720313525,11.301299405349209,2.4003130580916237,0.9037743629613877,0.007825954087531662,0.9535541341543745,0.029123707894774496,0.2599170936658496,0.003509940999521202,0.2,0.0,0.2033333333333333,3.1031676915590914e-17,0.2,0.20333333333333334,5
41.8,6.260990336999411,0.6875,0.0793922225410021,3.4650000000000007,0.08477912478906582,0.5548222222222223,0.02629293939844412,12.041711961622621,2.148499411096979,0.9133747983885977,0.005070260418528836,0.9623089648209472,0.020959860591222835,0.2598497616861633,0.004048530271860651,0.2,0.0,0.23555555555555557,0.0,0.2,0.23555555555555557,5
50.6,9.235799911215056,0.5654999999999999,0.21946241136012337,3.3910000000000005,0.08727829054237948,0.5591674603174603,0.0326358211456942,10.562491300803117,1.4454661967326823,0.9201645019620898,0.018226247475358316,0.9747947791047057,0.015504768038065978,0.2612790820045208,0.005678319226443994,0.2,0.0,0.2677777777777778,0.0,0.2,0.2677777777777778,5
48.6,4.505552130427524,0.571,0.08567015232856771,3.429,0.041291645644125186,0.5682770202020202,0.007966611064677317,11.016039016988252,0.680915497194029,0.9133208306063787,0.006877757543689579,0.9889073726316358,0.009310045389933127,0.25972312043868845,0.002996625491715644,0.2,0.0,0.3,0.0,0.2,0.3,5
1.2,0.44721359549995804,0.9995,0.001118033988749871,3.974,0.006519202405202663,0.32334404761904756,0.01761186227358606,6.441761816601806,0.2223684535503751,0.7725464993740312,0.012477964410931882,0.2035014011915913,0.06233691886513635,0.24366597956625147,0.002632305302524125,0.25,0.0,0.01,0.0,0.25,0.01,5
1.6,0.8944271909999159,0.9984999999999999,0.0022360679774997855,3.8959999999999995,0.027018512172212714,0.3418174603174603,0.023475811196655535,6.800889446157575,0.26208316442427326,0.7923902284171056,0.016627395977789415,0.5823192865473261,0.0643423803801681,0.23792325380379115,0.004572793661640922,0.25,0.0,0.042222222222222223,0.0,0.25,0.042222222222222223,5
